CD45,CD3,CD8,CD4,CD20,CD68,CD11c,MPO,Pan-Keratin,Beta catenin,Keratin17,Vimentin,SMA,CD31,FoxP3,HLA-DR,celltype,SampleID
-0.1824,-0.4458,-0.374,-0.3754,-0.3554,2.5066,2.1786,-0.139,-0.5577,-0.7045,-0.2738,1.6206,-0.378,-0.167,-0.0763,1.1309,Macrophage,4
2.7298,0.7594,-0.374,3.1846,4.3234,-0.3742,-0.3071,-0.139,-0.5577,-0.8456,-0.2738,-0.649,-0.378,-0.167,-0.0763,3.0602,CD4 T cell,28
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.721,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,22
1.8212,1.5627,1.0964,2.4795,-0.3554,-0.3742,0.1068,-0.139,-0.5577,-0.8456,-0.2738,0.2888,-0.378,-0.167,-0.0763,2.6434,CD4 T cell,35
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.6447,-0.2738,-0.5596,-0.378,-0.167,-0.0763,-0.6715,Tumor,26
-0.5841,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,2.252,3.9193,2.5644,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,31
-0.2204,-0.1641,-0.374,0.4692,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.1512,-0.2738,2.1839,4.3049,1.9097,-0.0763,-0.632,Tumor,17
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,2.3425,0.4067,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,28
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.2269,-0.3632,3.6699,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,24
2.1186,2.2751,0.5477,2.2425,1.0196,4.5701,3.5608,-0.139,-0.5577,-0.8456,-0.2738,1.9032,0.2186,-0.167,-0.0763,0.9385,Macrophage,17
-0.2934,-0.4458,-0.374,-0.3754,-0.3554,-0.0459,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.4661,Macrophage,5
0.6784,0.0254,-0.374,0.8974,-0.3554,-0.2896,0.7975,-0.139,-0.5577,-0.4133,-0.2738,1.7965,0.137,-0.167,-0.0763,-0.3305,Neutrophil,9
0.0084,0.3971,0.5193,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.3768,-0.0796,-0.2738,0.1482,-0.378,-0.167,-0.0763,-0.1367,Tumor,10
0.9039,1.1249,2.178,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,0.4964,0.1051,-0.167,-0.0763,-0.4394,CD8 T cell,37
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.1345,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,19
-0.0948,-0.0578,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,1.208,-0.378,-0.167,-0.0763,0.4832,Neutrophil,29
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.9157,2.3408,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,14
-0.6668,-0.4458,-0.374,-0.3754,-0.3554,1.2494,-0.3597,-0.139,-0.3725,-0.8456,-0.2738,0.747,-0.378,-0.167,-0.0763,-0.5401,Macrophage,8
-0.7685,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.0299,0.3929,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.3207,Tumor,39
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.3116,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,15
0.7967,0.3178,1.599,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.8198,1.574,-0.0605,0.7736,-0.378,-0.167,-0.0763,-0.0128,Tumor,32
-0.737,-0.4458,-0.374,-0.3754,-0.2731,-0.3742,-0.3597,-0.139,-0.2742,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.662,Tumor,1
1.8948,-0.1377,-0.374,0.099,3.1845,-0.3742,-0.3042,-0.139,-0.5577,-0.8456,-0.2738,-0.5152,-0.378,-0.167,-0.0763,2.2709,B cell,28
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.7372,0.1245,2.0257,5.5117,-0.167,-0.0763,-0.6715,Tumor,33
-0.6855,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.5487,-0.2738,-0.822,-0.378,-0.167,-0.0763,0.0155,Tumor,4
-0.1659,-0.4458,-0.1524,-0.0267,-0.3554,1.3409,-0.3597,-0.139,-0.4165,0.0872,-0.2738,-0.0898,-0.378,-0.167,-0.0763,0.1074,Tumor,12
2.1864,2.4152,-0.1933,4.5439,1.6825,-0.3742,2.6744,-0.139,-0.5577,-0.8456,-0.2738,1.7553,-0.378,-0.167,-0.0763,0.6544,CD4 T cell,28
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.5739,-0.8456,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,22
-0.2099,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.2474,-0.139,-0.5577,-0.5645,-0.2738,0.2312,-0.378,-0.167,-0.0763,-0.2096,Other immune,29
-0.3272,-0.3607,-0.374,-0.3754,-0.3488,-0.3742,-0.3597,-0.139,-0.0761,-0.8456,-0.2738,0.8358,1.0305,2.7031,-0.0763,-0.6317,Tumor,40
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.0579,-0.139,1.0797,0.7651,0.6324,-0.5498,-0.0257,-0.167,-0.0763,-0.6715,Tumor,29
1.5335,1.2109,-0.0575,1.616,-0.1437,0.6368,-0.3597,-0.139,-0.5577,-0.8456,-0.2738,0.1478,-0.378,1.3713,-0.0763,-0.6003,CD4 T cell,40
-0.1366,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.3616,-0.4124,2.0561,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,24
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5342,0.0452,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
0.6813,0.6722,-0.374,0.9482,-0.3554,0.8861,1.5617,-0.139,-0.5577,-0.8456,-0.2738,1.5839,-0.0427,-0.167,-0.0763,-0.0204,CD4 T cell,11
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,0.5313,-0.2738,0.0985,2.0849,-0.167,-0.0763,-0.6715,Mesenchymal,28
-0.3834,-0.2871,-0.3501,-0.3363,-0.3554,-0.3742,-0.3597,-0.139,0.0118,-0.0712,-0.2738,-0.822,-0.378,-0.167,-0.0763,0.3236,Tumor,39
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.7108,-0.0435,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,21
1.5966,-0.3467,-0.374,-0.1923,-0.2313,5.3149,4.307,-0.139,-0.5577,-0.8456,-0.2738,1.8302,-0.378,-0.167,-0.0763,2.5631,Macrophage,32
0.184,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.3439,-0.2738,0.7919,1.0311,-0.167,-0.0763,1.664,Neutrophil,41
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.5577,-0.4782,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,27
0.6897,-0.4458,-0.374,-0.3754,-0.3554,1.1831,-0.3597,-0.139,-0.5577,-0.8456,-0.2344,2.0937,2.374,-0.167,-0.0763,2.2686,Macrophage,38
-0.7859,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,1.3388,1.6835,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6353,Tumor,31
0.0014,-0.4458,-0.374,-0.3754,0.4511,0.908,0.1621,-0.139,-0.0288,-0.1018,0.4318,1.5868,-0.378,-0.167,-0.0763,1.3355,Macrophage,4
-0.7922,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,-0.2363,1.149,-0.2706,-0.3422,-0.378,-0.167,-0.0763,0.3838,Tumor,12
0.4948,-0.3427,-0.374,-0.3754,-0.3554,-0.3742,2.0638,1.0154,-0.3949,-0.168,-0.2389,0.9562,0.3616,-0.167,-0.0763,1.6991,Dendritic cell,41
2.5478,4.4136,0.6254,5.6516,3.0074,-0.3742,-0.2537,-0.139,-0.5577,-0.8456,-0.2738,-0.452,-0.378,-0.167,-0.0763,0.3885,CD4 T cell,16
-0.2778,-0.0741,-0.3433,0.0156,-0.3554,-0.2769,-0.0576,-0.1267,-0.5577,0.5708,-0.2738,2.4504,1.9074,3.3147,-0.0763,-0.2941,Endothelial,5
-0.6424,0.0814,-0.374,-0.3507,-0.3554,-0.3742,-0.098,-0.139,-0.5577,0.4774,-0.2738,2.7402,0.4857,3.8727,-0.0763,-0.2873,Endothelial,32
0.4794,-0.4036,-0.0412,0.0139,-0.3554,1.5358,0.8398,-0.139,-0.5577,-0.7898,-0.2738,1.7462,0.0488,-0.167,-0.0763,0.7856,Macrophage,10
-0.7967,-0.4458,-0.374,-0.3754,-0.3554,-0.3742,-0.3597,-0.139,0.87,0.3129,-0.2738,-0.822,-0.378,-0.167,-0.0763,-0.6715,Tumor,18
